figure_file,relative_path,format,image_size_px,file_size_kb,mtime,likely_figure_id,section_in_manuscript,caption_candidate,source_script,source_data_file,source_data_type,data_status,is_duplicate,duplicate_group_id,is_outdated,problem_level,problem_description,recommended_action
fig_speckle_examples.png,figures/fig_speckle_examples.png,png,4209x1707,4961.8,2026-05-05T07:56:08Z,fig_speckle_examples,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
fig_same_fiber_per_domain.pdf,figures/fig_same_fiber_per_domain.pdf,pdf,,15.8,2026-05-05T07:56:02Z,fig_same_fiber_per_domain,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
fig_ncc_hd.pdf,figures/fig_ncc_hd.pdf,pdf,,23.4,2026-05-05T08:05:55Z,fig_ncc_hd,3.x supporting illustration / correlation,,scripts/make_paper_figures.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/fiber_auth/auth_matrix.json,json,source_unclear,no,,no,minor,,need_user_confirmation
long_term_stability_analysis.pdf,figures/new_datasets_analysis/long_term_stability_analysis.pdf,pdf,,26.2,2026-05-05T07:51:02Z,analysis_long_term_stability,Supporting (dataset characterization),Per-fiber temporal NCC from long_term_stability JPEGs,scripts/analyze_new_datasets.py::fig_long_term,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/long_term_stability,directory+jpeg_or_media,raw_data_verified,no,,no,OK,Green-only flat layout; informs but ≠ dual-channel fig7.,use_as_final
long_term_stability_analysis.png,figures/new_datasets_analysis/long_term_stability_analysis.png,png,3594x1741,200.0,2026-05-05T07:51:02Z,analysis_long_term_stability,Supporting (dataset characterization),Per-fiber temporal NCC from long_term_stability JPEGs,scripts/analyze_new_datasets.py::fig_long_term,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/long_term_stability,directory+jpeg_or_media,raw_data_verified,no,,no,OK,Green-only flat layout; informs but ≠ dual-channel fig7.,use_as_final
disturbance_sensitivity_analysis.png,figures/new_datasets_analysis/disturbance_sensitivity_analysis.png,png,4913x1599,282.7,2026-05-05T07:51:02Z,analysis_disturbance_sensitivity,Supporting,Within-fiber NCC bars — pooled disturbance dataset,scripts/analyze_new_datasets.py::fig_disturbance,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/disturbance_sensitivity,directory+jpeg_or_media,raw_data_verified,no,,no,OK,Not micro-bend before/after panel required for 策划书 fig7(b).,archive_only
disturbance_sensitivity_analysis.pdf,figures/new_datasets_analysis/disturbance_sensitivity_analysis.pdf,pdf,,34.8,2026-05-05T07:51:02Z,analysis_disturbance_sensitivity,Supporting,Within-fiber NCC bars — pooled disturbance dataset,scripts/analyze_new_datasets.py::fig_disturbance,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/disturbance_sensitivity,directory+jpeg_or_media,raw_data_verified,no,,no,OK,Not micro-bend before/after panel required for 策划书 fig7(b).,archive_only
power_common_mode_analysis.png,figures/new_datasets_analysis/power_common_mode_analysis.png,png,3594x1824,245.0,2026-05-05T07:51:02Z,analysis_power_common_mode_folder,Supporting,Inter-intra vs pump tag plots,scripts/analyze_new_datasets.py::fig_power,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/power_common_mode,directory+jpeg_or_media,raw_data_verified,no,,no,minor,Different from 策划书 fig8 summary bars (38.2/4.3%).,archive_only
power_common_mode_analysis.pdf,figures/new_datasets_analysis/power_common_mode_analysis.pdf,pdf,,24.6,2026-05-05T07:51:02Z,analysis_power_common_mode_folder,Supporting,Inter-intra vs pump tag plots,scripts/analyze_new_datasets.py::fig_power,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/power_common_mode,directory+jpeg_or_media,raw_data_verified,no,,no,minor,Different from 策划书 fig8 summary bars (38.2/4.3%).,archive_only
fig3_cmr.png,figures/patent/fig3_cmr.png,png,1632x623,97.5,2026-04-27T08:29:01Z,fig3_cmr,Patent figures,Optical path / system schematic assets,manual / scripts under figures/patent,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/patent/fig3_cmr.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,fig3_system_setup candidate: optical_path_clean.png / fig1_system.png — author must verify beam directions vs brief.,need_user_confirmation
fig2_modes.png,figures/patent/fig2_modes.png,png,1225x624,99.6,2026-04-27T08:29:01Z,fig2_modes,Patent figures,Optical path / system schematic assets,manual / scripts under figures/patent,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/patent/fig2_modes.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,fig3_system_setup candidate: optical_path_clean.png / fig1_system.png — author must verify beam directions vs brief.,need_user_confirmation
optical_path_render.png,figures/patent/optical_path_render.png,png,4000x2200,409.8,2026-04-27T12:31:22Z,optical_path_render,Patent figures,Optical path / system schematic assets,manual / scripts under figures/patent,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/patent/optical_path_render.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,fig3_system_setup candidate: optical_path_clean.png / fig1_system.png — author must verify beam directions vs brief.,need_user_confirmation
optical_path_clean.png,figures/patent/optical_path_clean.png,png,4000x2200,555.5,2026-04-27T12:31:22Z,optical_path_clean,Patent figures,Optical path / system schematic assets,manual / scripts under figures/patent,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/patent/optical_path_clean.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,fig3_system_setup candidate: optical_path_clean.png / fig1_system.png — author must verify beam directions vs brief.,need_user_confirmation
fig1_system.png,figures/patent/fig1_system.png,png,1785x615,57.2,2026-04-27T08:29:01Z,fig1_system,Patent figures,Optical path / system schematic assets,manual / scripts under figures/patent,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/patent/fig1_system.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,fig3_system_setup candidate: optical_path_clean.png / fig1_system.png — author must verify beam directions vs brief.,need_user_confirmation
fig4_flowchart.png,figures/patent/fig4_flowchart.png,png,810x1560,73.7,2026-04-27T08:29:01Z,fig4_flowchart,Patent figures,Optical path / system schematic assets,manual / scripts under figures/patent,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/patent/fig4_flowchart.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,fig3_system_setup candidate: optical_path_clean.png / fig1_system.png — author must verify beam directions vs brief.,need_user_confirmation
screenshot_step_camera_on.png,figures/softcopyright/screenshot_step_camera_on.png,png,3024x1742,875.3,2026-05-10T18:10:36Z,screenshot_step_camera_on,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_camera_on.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_model_loaded.png,figures/softcopyright/screenshot_step_model_loaded.png,png,3024x1742,855.9,2026-05-10T18:10:36Z,screenshot_step_model_loaded,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_model_loaded.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_dialog_load_video.png,figures/softcopyright/screenshot_dialog_load_video.png,png,3024x1742,886.0,2026-05-10T18:10:38Z,screenshot_dialog_load_video,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_dialog_load_video.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_home.png,figures/softcopyright/screenshot_step_home.png,png,3024x1742,220.3,2026-05-10T18:10:33Z,screenshot_step_home,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_home.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_reading_puf.png,figures/softcopyright/screenshot_step_reading_puf.png,png,3024x1742,940.4,2026-05-10T18:10:36Z,screenshot_step_reading_puf,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_reading_puf.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_scan_cameras.png,figures/softcopyright/screenshot_step_scan_cameras.png,png,3024x1742,220.4,2026-05-10T18:10:35Z,screenshot_step_scan_cameras,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_scan_cameras.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_access_denied.png,figures/softcopyright/screenshot_step_access_denied.png,png,3024x1742,925.2,2026-05-10T18:10:37Z,screenshot_step_access_denied,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_access_denied.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_access_granted.png,figures/softcopyright/screenshot_step_access_granted.png,png,3024x1742,944.0,2026-05-10T18:10:37Z,screenshot_step_access_granted,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_access_granted.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_slm_window.png,figures/softcopyright/screenshot_slm_window.png,png,6060x1798,442.8,2026-05-10T18:10:37Z,screenshot_slm_window,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_slm_window.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_recognition_off.png,figures/softcopyright/screenshot_step_recognition_off.png,png,3024x1742,861.0,2026-05-10T18:10:36Z,screenshot_step_recognition_off,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_recognition_off.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_step_stop_camera.png,figures/softcopyright/screenshot_step_stop_camera.png,png,3024x1742,230.4,2026-05-10T18:10:38Z,screenshot_step_stop_camera,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_step_stop_camera.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
screenshot_camera_permission.png,figures/softcopyright/screenshot_camera_permission.png,png,732x680,44.2,2026-05-10T18:10:33Z,screenshot_camera_permission,Softcopyright GUI capture,Screenshot,capture_manual_screenshots.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/figures/softcopyright/screenshot_camera_permission.png,directory+jpeg_or_media,generated_without_data,no,,no,minor,,do_not_use
per_length_summary.csv,results/length_optimization_green/tables/per_length_summary.csv,csv,,0.7,2026-05-12T07:43:00Z,data_per_length_summary_green,3.2 data — Fig 4,,analysis/experiments/length_optimization.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_length_summary.csv,csv,raw_data_verified,no,,no,OK,,use_as_final
per_fiber_metrics.csv,results/length_optimization_green/tables/per_fiber_metrics.csv,csv,,1.5,2026-05-12T07:43:00Z,data_per_fiber_metrics_green,3.2 data — Fig 4 supporting,,analysis/experiments/length_optimization.py,/Users/ziqidai/Documents/PhotonicReasearch_PUF/code/speckle_recognition-main/results/length_optimization_green/tables/per_fiber_metrics.csv,csv,raw_data_verified,no,,no,OK,,use_as_final
